method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
CVAR,6,0.08,0.12,150,20000,OK,2206931.1807267386,297.05140590667725,298.9205780029297,0.9802,14.975547790527344,32.4708251953125,25.45458984375,481.98300552368164,12,case118,38,2026-06-20 05:57:40
CVAR,6,0.08,0.12,150,30000,OK,2055272.3949734033,285.7633852958679,287.61890840530396,0.9858,15.617271423339844,32.4708251953125,27.285114288330078,481.32337951660156,12,case118,38,2026-06-20 06:02:28
CVAR,6,0.08,0.12,150,40000,OK,2049530.6099365817,283.5895493030548,285.4513919353485,0.9998,15.582050323486328,32.4708251953125,27.29189682006836,481.34931564331055,12,case118,38,2026-06-20 06:07:14
CVAR,6,0.08,0.12,200,10000,OK,2152863.789228325,419.9737331867218,421.8636336326599,0.974,18.29214859008789,32.4708251953125,28.255001068115234,478.6101264953613,17,case118,38,2026-06-20 06:14:17
CVAR,6,0.08,0.12,200,20000,OK,2206931.181795781,404.31415247917175,406.20262265205383,0.9802,18.355545043945312,32.4708251953125,28.26729965209961,478.5207862854004,16,case118,38,2026-06-20 06:21:04
CVAR,6,0.08,0.12,200,30000,OK,2055272.3950632042,400.0851628780365,401.94946098327637,0.9858,18.302406311035156,32.4708251953125,28.26578140258789,478.5949401855469,16,case118,38,2026-06-20 06:27:47
CVAR,6,0.08,0.12,200,40000,OK,2049530.609861114,400.3443465232849,402.2209916114807,0.9996,18.281505584716797,32.4708251953125,28.248191833496094,478.63673400878906,16,case118,38,2026-06-20 06:34:30
CVAR,6,0.08,0.12,250,10000,OK,2152866.8366144183,575.5009932518005,577.3770503997803,0.9796,22.528343200683594,32.4708251953125,33.263648986816406,474.3941764831543,22,case118,38,2026-06-20 06:44:09
CVAR,6,0.08,0.12,250,20000,OK,2206931.375299653,566.4344751834869,568.3229379653931,0.9806,23.42021942138672,32.4708251953125,34.907501220703125,473.49969482421875,21,case118,38,2026-06-20 06:53:38
CVAR,6,0.08,0.12,250,30000,OK,2055272.3946136618,555.2385787963867,557.1206121444702,0.9848,22.822166442871094,32.4708251953125,34.88193893432617,474.1028175354004,21,case118,38,2026-06-20 07:02:56
CVAR,6,0.08,0.12,250,40000,OK,2049530.6097235258,571.9931302070618,573.8689119815826,0.9998,23.577194213867188,32.4708251953125,34.89714813232422,473.23225021362305,22,case118,38,2026-06-20 07:12:32
CVAR,6,0.08,0.12,300,10000,OK,2152866.9618589166,752.3483545780182,754.3699421882629,0.9798,29.90911102294922,32.4708251953125,42.610328674316406,466.8916358947754,28,case118,38,2026-06-20 07:25:07
CVAR,6,0.08,0.12,300,20000,OK,2206933.5707718423,754.1741335391998,756.0680923461914,0.9854,29.989604949951172,32.5341911315918,42.612796783447266,466.8078384399414,28,case118,38,2026-06-20 07:37:45
CVAR,6,0.08,0.12,300,30000,OK,2055272.3946922612,725.7132952213287,727.5727691650391,0.9856,29.99920654296875,32.543617248535156,42.62234878540039,466.8645324707031,27,case118,38,2026-06-20 07:49:54
CVAR,6,0.08,0.12,300,40000,OK,2049530.609841125,703.0417449474335,704.9338088035583,0.9996,29.870765686035156,32.543617248535156,42.57793045043945,466.9801139831543,26,case118,38,2026-06-20 08:01:40
CVAR,6,0.1,0.15,50,10000,OK,2152859.1986975884,126.51153063774109,128.39641165733337,0.9282,6.077640533447266,32.543617248535156,16.167606353759766,490.7856216430664,7,case118,38,2026-06-20 08:03:50
