method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
FICA,0.05,0.1,300,0,10,5,720473.6615808241,3171.8764555454254,3172.685922384262,0.9458
FICA,0.05,0.1,300,10000,10,5,627391.4202737637,2650.022297143936,2650.8144290447235,0.9386
EIFICA,0.05,0.1,300,10000,10,5,627373.2812888394,2277.0793912410736,2277.9148321151733,0.9188
EIFICA,0.05,0.1,300,20000,10,5,641111.1786283231,597.6474545001984,598.4283521175385,0.9247999999999998
EIFICA,0.05,0.1,300,30000,10,5,596833.5385108797,1377.7159442901611,1378.4948415756226,0.9246
FICA,0.05,0.1,300,20000,10,5,641135.4631744672,2865.8378150463104,2866.6872837543488,0.9442
EIFICA,0.05,0.1,300,40000,10,5,591876.84490302,505.06134819984436,505.92452692985535,0.9306
FICA,0.1,0.15,50,0,10,5,717443.2211648109,42.05929493904114,42.91356897354126,0.6481999999999999
EIFICA,0.1,0.15,50,0,10,5,717421.7064092706,36.96454191207886,37.788156509399414,0.352
FICA,0.1,0.15,50,10000,10,5,623252.9395908219,42.23317217826843,43.05392909049988,0.6258
EIFICA,0.1,0.15,50,10000,10,5,623240.7998017224,37.03111004829407,37.82772135734558,0.5386
FICA,0.1,0.15,50,20000,10,5,637603.7670656485,41.76100945472717,42.57372260093689,0.6718
EIFICA,0.1,0.15,50,20000,10,5,637575.820758308,36.79362201690674,37.595826625823975,0.3886
FICA,0.1,0.15,50,30000,10,5,593427.1454374748,41.77459263801575,42.587483406066895,0.6832
EIFICA,0.1,0.15,50,30000,10,5,593419.8866362419,37.22416400909424,38.02715015411377,0.6488
FICA,0.1,0.15,50,40000,10,5,589090.8492576053,41.60989499092102,42.41872978210449,0.7174
EIFICA,0.1,0.15,50,40000,10,5,589084.7767266444,36.91995930671692,37.72514081001282,0.6054
FICA,0.1,0.15,80,0,10,5,717504.7742411839,298.26352429389954,299.07643270492554,0.7422
EIFICA,0.1,0.15,80,0,10,5,717499.591221269,41.92033243179321,42.746472120285034,0.7176
FICA,0.1,0.15,80,10000,10,5,623518.6208091746,302.42418932914734,303.23683309555054,0.7544
EIFICA,0.1,0.15,80,10000,10,5,623511.4028789992,42.68122053146362,43.50821805000305,0.7243999999999999
FICA,0.1,0.15,80,20000,10,5,637796.0041379553,379.2437992095947,380.0588445663452,0.7772
EIFICA,0.1,0.15,80,20000,10,5,637783.2917765277,42.472726821899414,43.30361008644104,0.7242000000000001
FICA,0.1,0.15,80,30000,10,5,593491.4529117836,283.352108001709,284.17422580718994,0.777
EIFICA,0.1,0.15,80,30000,10,5,593487.5570610936,43.026652336120605,43.85531401634216,0.7606
FICA,0.1,0.15,80,40000,10,5,589220.3703370878,364.0293459892273,364.85484194755554,0.8044
EIFICA,0.1,0.15,80,40000,10,5,589218.687579567,43.17465019226074,44.00339961051941,0.7925999999999999
FICA,0.05,0.1,300,30000,10,5,596865.5604049519,5647.171090841293,5647.9889125823975,0.9454
EIFICA,0.1,0.15,100,0,10,5,717539.0115072494,165.08427119255066,165.88782906532288,0.7784
FICA,0.05,0.1,300,40000,10,5,591881.6116002823,3939.457525730133,3940.2437460422516,0.951
FICA,0.1,0.15,100,0,10,5,717543.8063094679,550.0175938606262,550.8525433540344,0.7929999999999999
EIFICA,0.1,0.15,100,10000,10,5,623587.1961472712,279.17916917800903,279.9950957298279,0.7736
EIFICA,0.1,0.15,100,20000,10,5,637914.1643280422,164.59818768501282,165.39781022071838,0.7828
FICA,0.1,0.15,100,10000,10,5,623593.1867022616,613.7658295631409,614.5730197429657,0.7844
FICA,0.1,0.15,100,20000,10,5,637928.6291611244,548.1169309616089,548.9316630363464,0.825
EIFICA,0.1,0.15,100,30000,10,5,593582.8375975366,364.3187310695648,365.1155707836151,0.8244
FICA,0.1,0.15,100,30000,10,5,593587.3183035782,512.1959075927734,513.0047221183777,0.8396000000000001
FICA,0.1,0.15,100,40000,10,5,589275.2186639342,528.4263005256653,529.2578344345093,0.857
EIFICA,0.1,0.15,100,40000,10,5,589272.436255154,253.14188718795776,253.9408814907074,0.8393999999999999
EIFICA,0.1,0.15,150,0,10,5,717645.9310329753,309.6971514225006,310.5032284259796,0.866
FICA,0.1,0.15,150,10000,10,5,623725.4098870952,977.4245150089264,978.3248672485352,0.8344
