method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
FICA,6,0.08,0.12,150,0,OK,2483609.5454837056,147.72000193595886,149.5181815624237,0.997,5.247486114501953,373.83813095092773,15.373771667480469,492.2973747253418,7,case118,38,2026-06-19 15:16:14
FICA,6,0.08,0.12,200,0,OK,2483609.5466750734,842.1262328624725,843.9639599323273,0.997,260.44134521484375,373.83813095092773,492.1591339111328,236.6328239440918,31,case118,38,2026-06-19 15:30:18
FICA,6,0.08,0.12,250,0,OK,2483609.554621788,1114.1244931221008,1116.1572415828705,0.9978,329.36029052734375,373.83813095092773,621.030517578125,167.58875274658203,40,case118,38,2026-06-19 15:48:56
FICA,6,0.08,0.12,300,0,OK,2483609.547126814,1453.9472241401672,1455.79838347435,0.998,400.25077056884766,400.2509231567383,752.2116966247559,96.6028938293457,51,case118,38,2026-06-19 16:13:12
FICA,6,0.1,0.15,50,0,OK,2483609.545493569,103.77190852165222,105.62029790878296,0.947,3.9620094299316406,400.2509231567383,15.121898651123047,493.5640411376953,6,case118,38,2026-06-19 16:14:59
FICA,6,0.1,0.15,80,0,OK,2483609.545538406,118.94986081123352,120.82795834541321,0.987,3.3317832946777344,400.2509231567383,12.78158950805664,494.18999099731445,7,case118,38,2026-06-19 16:17:00
FICA,6,0.1,0.15,100,0,OK,2483609.545639471,128.57969880104065,130.58148503303528,0.9918,3.8891258239746094,400.2509231567383,13.668342590332031,493.6232566833496,7,case118,38,2026-06-19 16:19:11
FICA,6,0.1,0.15,150,0,OK,2483609.5455018133,150.10637021064758,151.97272992134094,0.997,5.338207244873047,400.2509231567383,15.476539611816406,492.1788101196289,8,case118,38,2026-06-19 16:21:44
FICA,6,0.1,0.15,200,0,OK,2483609.547209672,826.6912219524384,828.5467104911804,0.9978,250.24796676635742,400.2509231567383,513.6921653747559,246.87960052490234,30,case118,38,2026-06-19 16:35:33
FICA,6,0.1,0.15,250,0,OK,2483609.5523616276,1179.5042915344238,1181.3346977233887,0.9978,343.9744529724121,400.2509231567383,648.3906936645508,152.9451560974121,42,case118,38,2026-06-19 16:55:15
FICA,6,0.1,0.15,300,0,OK,2483609.5482950304,1472.403503894806,1474.2371082305908,0.998,418.0610122680664,418.06102752685547,785.5179214477539,78.76382827758789,52,case118,38,2026-06-19 17:19:50
