method,sf,epsilon,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate
ExactLHS,1.5,0.03,30,100,57996.77723691933,4.679471254348755,5.917710065841675,0.9374
EIFICA,1.5,0.03,30,200,67325.88664285124,2.1503782272338867,3.5945396423339844,0.7904
ExactLHS,1.5,0.03,30,200,67342.81635507863,4.686505079269409,5.960726261138916,0.833
EIFICA,1.5,0.03,30,300,62378.37291440673,2.1951088905334473,3.3906383514404297,0.9272
ExactLHS,1.5,0.03,30,300,62384.02215804095,4.663311958312988,5.8601298332214355,0.9326
EIFICA,1.5,0.03,30,400,63743.497789749745,2.1097354888916016,3.3425889015197754,0.7848
ExactLHS,1.5,0.03,30,400,63752.760598208915,4.507201433181763,5.736268520355225,0.9098
EIFICA,1.5,0.03,30,500,63368.49163983241,2.157308340072632,3.5376293659210205,0.7916
ExactLHS,1.0,0.06,120,100,38501.58165853605,217.2961390018463,218.4365336894989,0.9918
ExactLHS,1.5,0.03,30,500,63369.875129511835,4.5688605308532715,5.7906715869903564,0.9108
EIFICA,1.5,0.03,30,600,58013.75012033606,2.1486592292785645,3.9520962238311768,0.711
ExactLHS,1.5,0.03,30,600,58021.67565283789,4.675910711288452,5.87389063835144,0.8718
EIFICA,1.5,0.03,30,700,71045.91009381623,2.078493595123291,3.290600061416626,0.9724
ExactLHS,1.5,0.03,30,700,71046.12119355674,4.447668790817261,5.840451717376709,0.9712
EIFICA,1.5,0.03,30,800,60415.047701146315,2.2597813606262207,3.4577181339263916,0.8412
EIFICA,1.5,0.03,30,900,57880.973820279076,2.2001192569732666,3.4177136421203613,0.8988
ExactLHS,1.5,0.03,30,800,60429.87184802474,4.555340766906738,5.918454170227051,0.877
ExactLHS,1.5,0.03,30,900,57893.843339328996,4.516363143920898,5.7525599002838135,0.899
EIFICA,1.5,0.03,60,0,72166.07235511759,4.191143989562988,5.373415231704712,0.9538
ExactLHS,1.0,0.06,120,700,47304.61124211829,142.7992763519287,143.98737502098083,0.9966
EIFICA,1.5,0.03,60,100,57987.51293382847,3.9649155139923096,5.289120197296143,0.9694
EIFICA,1.5,0.03,60,200,67393.49240851257,3.9685604572296143,5.132909297943115,0.9724
ExactLHS,1.0,0.06,120,0,48238.34848423574,285.13954281806946,286.8976700305939,0.9892
EIFICA,1.5,0.03,60,300,62383.27175886881,3.8026623725891113,5.038905620574951,0.8738
ExactLHS,1.5,0.03,60,0,72193.76401000145,46.67025566101074,48.04791712760925,0.9736
ExactLHS,1.0,0.06,120,200,44939.800155541074,274.10939955711365,275.34243059158325,0.9948
EIFICA,1.5,0.03,60,400,63750.04988803448,4.145917654037476,5.912268400192261,0.855
ExactLHS,1.5,0.03,60,100,58037.53331396981,50.52815508842468,52.30133318901062,0.9762
EIFICA,1.5,0.03,60,500,63377.88506724052,4.254960298538208,5.502809047698975,0.469
ExactLHS,1.0,0.06,120,900,38620.94290182029,164.44496512413025,165.65214562416077,0.99
EIFICA,1.5,0.03,60,600,58027.358568508185,4.530315399169922,5.750114679336548,0.884
EIFICA,1.5,0.03,60,700,71050.3454572143,4.743179082870483,5.983932971954346,0.9844
ExactLHS,1.5,0.03,60,200,67423.86347689923,72.02572727203369,73.3481171131134,0.9856
EIFICA,1.5,0.03,60,800,60454.90965231406,3.949688196182251,5.70277738571167,0.8374
ExactLHS,1.0,0.06,120,500,42206.81350188754,297.5506489276886,298.9217965602875,0.9932
ExactLHS,1.5,0.03,60,400,65051.327358124814,54.3271050453186,56.14273381233215,0.977
