method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,network,num_gen,timestamp
FICA,6,0.03,0.06,300,30000,OK,2059127.0045570713,1275.813899755478,1278.2578570842743,0.989,case118,38,2026-04-23 01:04:19
FICA,6,0.05,0.1,50,0,OK,2487153.9809223074,103.4820511341095,105.34740161895752,0.9466,case118,38,2026-04-23 01:06:05
FICA,6,0.05,0.1,50,10000,OK,2157202.399323779,103.7547116279602,105.60187244415283,0.896,case118,38,2026-04-23 01:07:51
FICA,6,0.05,0.1,50,20000,OK,2210980.7676265123,104.63245248794556,106.46826338768005,0.944,case118,38,2026-04-23 01:09:38
FICA,6,0.05,0.1,50,30000,OK,2059127.004521458,105.5048508644104,107.45785284042358,0.9678,case118,38,2026-04-23 01:11:26
FICA,6,0.05,0.1,50,40000,OK,2052649.1412092086,103.72600960731506,105.55843043327332,0.9942,case118,38,2026-04-23 01:13:12
FICA,6,0.05,0.1,80,0,OK,2487153.9808957097,118.29696750640869,120.1392412185669,0.9878,case118,38,2026-04-23 01:15:12
FICA,6,0.05,0.1,80,10000,OK,2157208.9054048094,120.16333866119385,122.0148446559906,0.9716,case118,38,2026-04-23 01:17:14
FICA,6,0.03,0.06,300,40000,OK,2052649.1412781652,1358.9755403995514,1360.9014353752136,0.9996,case118,38,2026-04-23 01:19:06
FICA,6,0.05,0.1,80,20000,OK,2210984.789863487,119.67942476272583,121.53438591957092,0.9758,case118,38,2026-04-23 01:19:16
FICA,6,0.05,0.1,80,30000,OK,2059127.0044824802,118.35563254356384,120.86442518234253,0.9858,case118,38,2026-04-23 01:21:10
FICA,6,0.05,0.1,80,40000,OK,2052649.1412065052,116.99082207679749,118.81135416030884,0.9986,case118,38,2026-04-23 01:21:16
FICA,6,0.05,0.1,100,0,OK,2487153.9810194825,127.47971987724304,129.39063215255737,0.9904,case118,38,2026-04-23 01:23:20
FICA,6,0.05,0.1,100,10000,OK,2157208.9054217944,125.98039603233337,127.80050992965698,0.9754,case118,38,2026-04-23 01:23:24
FICA,6,0.05,0.1,100,20000,OK,2210986.294508264,128.43282008171082,130.34804344177246,0.975,case118,38,2026-04-23 01:25:31
FICA,6,0.05,0.1,100,30000,OK,2059127.0045150975,125.6201868057251,127.45769548416138,0.9898,case118,38,2026-04-23 01:25:32
FICA,6,0.05,0.1,100,40000,OK,2052649.1413524456,127.8216073513031,129.69496250152588,0.9996,case118,38,2026-04-23 01:27:41
FICA,6,0.05,0.1,150,0,OK,2487153.980967244,146.53478980064392,148.35012769699097,0.9968,case118,38,2026-04-23 01:28:00
FICA,6,0.05,0.1,150,10000,OK,2157209.1845394853,150.91579294204712,152.95112895965576,0.9794,case118,38,2026-04-23 01:30:15
FICA,6,0.05,0.1,150,20000,OK,2210987.6052096984,147.91239881515503,149.7660584449768,0.9828,case118,38,2026-04-23 01:30:31
FICA,6,0.05,0.1,150,30000,OK,2059127.0044814334,150.4629247188568,152.32775926589966,0.9886,case118,38,2026-04-23 01:32:48
FICA,6,0.05,0.1,150,40000,OK,2052649.1412068952,148.48881888389587,150.30737352371216,0.9996,case118,38,2026-04-23 01:33:02
