sweep_dim,value,is_default,seed,obj_no,obj_with,cost_reduction_pct,satisfied_rate_with,ess_agc_share,status_with
efficiency,0.9,False,0,717717.5400058078,711035.5900211117,0.9309999564232526,0.9462,0.6586250215166534,2
efficiency,0.9,False,10000,623945.2960887223,616421.5519443081,1.2058339395420907,0.9582,0.8722500055417688,2
efficiency,0.9,False,20000,638018.7640605747,631329.4203117741,1.04845564513295,0.9522,0.6791723635005984,2
efficiency,0.9,False,30000,593766.9798138412,587575.445903836,1.042754838261013,0.9222,0.7063966811822296,2
efficiency,0.9,False,40000,589385.7501139172,584408.7539155083,0.8444378231823433,0.9336,0.5230924946151897,2
efficiency,0.95,True,0,717717.5400058078,712117.0848280443,0.7803146594018252,0.9278,0.5887397633294892,2
efficiency,0.95,True,10000,623945.2960887223,617140.0845078243,1.0906743946235888,0.9526,0.8481136175167221,2
efficiency,0.95,True,20000,638018.7640605747,632036.9764996927,0.9375566829432818,0.9508,0.6735584658473244,2
efficiency,0.95,True,30000,593766.9798138412,588217.471842306,0.9346272460747305,0.929,0.7139752095620692,2
efficiency,0.95,True,40000,589385.7501139172,584987.2209233212,0.7462903861767625,0.9364,0.5550713909955477,2
efficiency,0.98,False,0,717717.5400058078,712468.789577585,0.7313114332109462,0.9258,0.5941243589423744,2
efficiency,0.98,False,10000,623945.2960887223,617545.4966714742,1.0256988004182483,0.9488,0.8374613648259776,2
efficiency,0.98,False,20000,638018.7640605747,632436.7577269338,0.8748968914511308,0.9514,0.6797332785400882,2
efficiency,0.98,False,30000,593766.9798138412,588583.1919835644,0.8730340363322314,0.9302,0.7201109733118096,2
efficiency,0.98,False,40000,589385.7501139172,585132.0769194919,0.7217129347974807,0.9408,0.53758885888075,2
rho,0.1,False,0,717717.5400058078,712116.5488683037,0.7803893349825042,0.929,0.5833845731536993,2
rho,0.1,False,10000,623945.2960887223,617136.3240162672,1.091277090337563,0.9566,0.8200558698425217,2
rho,0.1,False,20000,638018.7640605747,632036.079572422,0.9376972630204224,0.9474,0.6678490195450315,2
rho,0.1,False,30000,593766.9798138412,588216.1288807899,0.9348534225988167,0.931,0.7103031860065794,2
rho,0.1,False,40000,589385.7501139172,584987.2211564446,0.7462903466231376,0.9364,0.5549300290859676,2
rho,0.16666666666666666,True,0,717717.5400058078,712117.0848280443,0.7803146594018252,0.9278,0.5887397633294892,2
rho,0.16666666666666666,True,10000,623945.2960887223,617140.0845078243,1.0906743946235888,0.9526,0.8481136175167221,2
rho,0.16666666666666666,True,20000,638018.7640605747,632036.9764996927,0.9375566829432818,0.9508,0.6735584658473244,2
rho,0.16666666666666666,True,30000,593766.9798138412,588217.471842306,0.9346272460747305,0.929,0.7139752095620692,2
rho,0.16666666666666666,True,40000,589385.7501139172,584987.2209233212,0.7462903861767625,0.9364,0.5550713909955477,2
rho,0.3,False,0,717717.5400058078,712119.2943746771,0.7800068019913996,0.9272,0.6067601778611317,2
rho,0.3,False,10000,623945.2960887223,617160.5295573232,1.0873976571231876,0.9832,0.9060909214028013,2
rho,0.3,False,20000,638018.7640605747,632049.759225767,0.9355531797872016,0.9546,0.6883419184827164,2
rho,0.3,False,30000,593766.9798138412,588235.5688297848,0.9315794195545594,0.9278,0.7184320367542464,2
rho,0.3,False,40000,589385.7501139172,584988.0751008962,0.7461454594331465,0.9364,0.5559456372466436,2
rho,0.5,False,0,717717.5400058078,712128.8424855905,0.7786764581749044,0.9224,0.6479298885330703,2
rho,0.5,False,10000,623945.2960887223,617254.6086078506,1.0723195643613435,0.9954,0.9401589159158391,2
rho,0.5,False,20000,638018.7640605747,632097.31912605,0.9280988691991697,0.96,0.7201842696725399,2
rho,0.5,False,30000,593766.9798138412,588289.868277797,0.9224345108852896,0.9152,0.7154790751299361,2
rho,0.5,False,40000,589385.7501139172,585001.9111085848,0.7437979293671437,0.9362,0.5399386466567156,2
