method,sf,epsilon,theta,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate,status
ExactLHS,1.0,0.03,0.06,100,600,53905.77428926087,237.9713168144226,239.11796355247498,0.727,2
EIFICA,1.0,0.03,0.06,100,800,56034.13630117556,5.428563594818115,7.109160423278809,0.9744,2
ExactLHS,1.0,0.03,0.06,100,400,59718.02739699332,416.89400482177734,418.0780248641968,0.7514,2
EIFICA,1.0,0.03,0.06,100,900,53771.14911862037,5.677648544311523,7.494516372680664,0.9548,2
ExactLHS,1.0,0.03,0.06,100,700,65471.50472670265,350.16228890419006,351.3679220676422,0.6846,2
EIFICA,1.0,0.03,0.06,150,0,66594.1935984908,6.372408866882324,8.144336223602295,0.9784,2
ExactLHS,1.0,0.03,0.06,100,800,56852.68692255589,301.61729764938354,302.7793095111847,0.6858,2
EIFICA,1.0,0.03,0.06,150,100,53893.12948532727,6.112720966339111,7.807738780975342,0.9846,2
ExactLHS,1.0,0.03,0.06,100,900,54401.85820793961,515.349408864975,516.5655975341797,0.7662,2
EIFICA,1.0,0.03,0.06,150,200,62000.59654595097,6.371474981307983,8.160895109176636,0.9812,2
ExactLHS,1.0,0.03,0.06,150,100,54058.5619570488,728.8705041408539,730.0282881259918,0.6228,2
EIFICA,1.0,0.03,0.06,150,300,57706.183198391955,6.070110321044922,7.753091096878052,0.978,2
ExactLHS,1.0,0.03,0.06,150,200,62045.59303335619,530.34144282341,531.5531413555145,0.6196,2
EIFICA,1.0,0.03,0.06,150,400,58906.16125644373,6.268481969833374,8.031797885894775,0.96,2
ExactLHS,1.0,0.03,0.06,150,0,66626.70726079102,1274.0220651626587,1275.2347061634064,0.627,2
ExactLHS,1.0,0.03,0.06,150,400,58923.757829951275,301.3185017108917,302.54073905944824,0.8456,2
EIFICA,1.0,0.03,0.06,150,500,58609.847565277494,6.370060205459595,8.182960748672485,0.9884,2
EIFICA,1.0,0.03,0.06,150,600,53842.97700009441,6.336775779724121,7.544943332672119,0.9622,2
ExactLHS,1.0,0.03,0.06,150,600,53938.51578576693,1170.5567705631256,1171.9026567935944,0.6854,2
EIFICA,1.0,0.03,0.06,150,700,65471.579233490644,6.4713356494903564,8.30782961845398,0.9994,2
ExactLHS,1.0,0.03,0.06,150,500,58701.89304478076,1286.643158197403,1288.4266867637634,0.7484,2
EIFICA,1.0,0.03,0.06,150,800,56037.80647010935,6.046359300613403,7.206963300704956,0.9846,2
ExactLHS,1.0,0.03,0.06,150,700,65471.57923343595,380.61081862449646,381.8248782157898,0.7536,2
EIFICA,1.0,0.03,0.06,150,900,53804.98262174528,6.313697099685669,8.05279016494751,0.9904,2
ExactLHS,1.0,0.03,0.06,150,800,56134.58739551842,720.8130948543549,722.0934383869171,0.7532,2
EIFICA,1.0,0.03,0.06,200,0,66633.99582600711,6.821514844894409,7.945008277893066,0.9996,2
ExactLHS,1.0,0.03,0.06,150,900,53865.38835235026,1109.5407893657684,1110.7449197769165,0.6848,2
EIFICA,1.0,0.03,0.06,200,100,53923.6867625304,7.133497476577759,8.904912233352661,0.9946,2
ExactLHS,1.0,0.03,0.06,200,0,66640.7775542652,1569.5470745563507,1570.7943308353424,0.6858,2
EIFICA,1.0,0.03,0.06,200,200,62000.59653894506,6.932911157608032,8.683624267578125,0.9812,2
ExactLHS,1.0,0.03,0.06,200,100,54074.10719579698,1210.649740934372,1211.8590304851532,0.6468,2
EIFICA,1.0,0.03,0.06,200,300,57706.9235657599,7.257591485977173,9.17793583869934,0.9804,2
ExactLHS,1.0,0.03,0.06,200,200,62052.25242715641,1193.049152135849,1194.232600927353,0.6856,2
EIFICA,1.0,0.03,0.06,200,400,58911.20348960581,7.163651704788208,8.913307905197144,0.969,2
ExactLHS,1.0,0.03,0.06,100,500,58674.551938901044,7205.49875330925,7206.705051898956,0.746,9
EIFICA,1.0,0.03,0.06,200,500,58609.847563159885,6.965237617492676,8.703579187393188,0.9884,2
ExactLHS,1.0,0.03,0.06,200,400,58925.87533170247,1121.1060247421265,1122.2915017604828,0.7486,2
EIFICA,1.0,0.03,0.06,200,600,53863.189588918365,6.998605728149414,8.706608533859253,0.9746,2
ExactLHS,1.0,0.03,0.06,200,600,53951.98816151749,815.2584784030914,816.4268262386322,0.8406,2
EIFICA,1.0,0.03,0.06,200,700,65471.57924099502,6.9453020095825195,8.672187089920044,0.9992,2
ExactLHS,1.0,0.03,0.06,150,300,57788.486232827534,7206.112903594971,7207.263255596161,0.7416,9
EIFICA,1.0,0.03,0.06,200,800,56055.40928102962,6.9430458545684814,8.64267373085022,0.996,2
ExactLHS,1.0,0.03,0.06,200,500,58711.532196318956,1982.4886102676392,1983.6426510810852,0.622,2
EIFICA,1.0,0.03,0.06,200,900,53804.98260488319,7.050230026245117,8.777188777923584,0.9904,2
ExactLHS,1.0,0.03,0.06,200,700,65471.57923343711,1034.500863790512,1035.6697008609772,0.7486,2
EIFICA,1.0,0.06,0.06,50,0,65998.86404419101,5.015491008758545,6.760685682296753,0.9774,2
ExactLHS,1.0,0.06,0.06,50,0,66313.69844214684,48.02359342575073,49.19887113571167,0.6154,2
EIFICA,1.0,0.06,0.06,50,100,53161.73488910807,5.04274320602417,6.808917045593262,0.9272,2
ExactLHS,1.0,0.06,0.06,50,100,53198.75310026139,96.15984225273132,97.36393165588379,0.705,2
EIFICA,1.0,0.06,0.06,50,200,61238.03429587612,5.000765562057495,6.746415615081787,0.9978,2
ExactLHS,1.0,0.06,0.06,50,200,61238.03429710521,98.34566402435303,99.53200340270996,0.6858,2
EIFICA,1.0,0.06,0.06,50,300,57171.526859664635,4.914750576019287,6.603348731994629,0.9594,2
ExactLHS,1.0,0.06,0.06,50,300,57191.39606776919,123.45010042190552,124.5983362197876,0.738,2
EIFICA,1.0,0.06,0.06,50,400,58125.34088390668,4.961327314376831,6.657490968704224,0.994,2
ExactLHS,1.0,0.06,0.06,50,400,58125.32663019479,100.11527800559998,101.26454591751099,0.7416,2
EIFICA,1.0,0.06,0.06,50,500,58009.86508151141,4.9390339851379395,6.625262498855591,0.9206,2
ExactLHS,1.0,0.06,0.06,50,500,58322.225273509015,114.01140141487122,115.16919016838074,0.6186,2
EIFICA,1.0,0.06,0.06,50,600,53073.04663562713,4.8862082958221436,6.5665998458862305,0.8818,2
ExactLHS,1.0,0.06,0.06,50,600,53084.32801841971,199.72478938102722,200.8802616596222,0.6914,2
EIFICA,1.0,0.06,0.06,50,700,64834.16022600197,4.899163484573364,6.593299150466919,0.9978,2
ExactLHS,1.0,0.06,0.06,50,700,64834.1602261175,52.293434619903564,53.442129373550415,0.74,2
EIFICA,1.0,0.06,0.06,50,800,55331.11809861885,4.909403085708618,6.57168984413147,0.9752,2
ExactLHS,1.0,0.06,0.06,50,800,55338.46368397377,118.74052047729492,119.89300489425659,0.7214,2
EIFICA,1.0,0.06,0.06,50,900,53257.575027713945,5.089656114578247,6.837161540985107,0.914,2
ExactLHS,1.0,0.06,0.06,50,900,53263.28177707933,97.0270323753357,98.25760173797607,0.6102,2
EIFICA,1.0,0.06,0.06,80,0,65998.86405273668,5.546903848648071,7.358242511749268,0.9774,2
